#PI: Shappee 
#OBJECT: SN 2011fe 
#JD: 2457104.01466 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4612.4 4.7803102e-15 
4613.8 4.7726617e-15 
4615.3 4.6548383e-15 
4616.8 5.011315e-15 
4618.2 4.9566199e-15 
4619.7 4.7724307e-15 
4621.2 5.0629718e-15 
4622.6 4.7740664e-15 
4624.1 4.9850124e-15 
4625.6 5.0155666e-15 
4627.0 4.8574053e-15 
4628.5 5.0324252e-15 
4629.9 4.9309207e-15 
4631.4 4.9141255e-15 
4632.9 5.0740622e-15 
4634.3 4.99197e-15 
4635.8 4.9931086e-15 
4637.3 4.8709287e-15 
4638.7 4.836821e-15 
4640.2 5.0518611e-15 
4641.7 4.6836041e-15 
4643.1 4.8584991e-15 
4644.6 4.9066137e-15 
4646.0 4.9360407e-15 
4647.5 4.953232e-15 
4649.0 4.9074763e-15 
4650.4 4.8564491e-15 
4651.9 4.9745782e-15 
4653.4 4.9576864e-15 
4654.8 5.0141348e-15 
4656.3 5.0652094e-15 
4657.8 4.6926898e-15 
4659.2 4.8795034e-15 
4660.7 4.879926e-15 
4662.1 4.8159215e-15 
4663.6 4.7711219e-15 
4665.1 4.9242784e-15 
4666.5 4.7589592e-15 
4668.0 4.6082128e-15 
4669.5 4.790106e-15 
4670.9 4.5646025e-15 
4672.4 4.7219295e-15 
4673.9 4.8449234e-15 
4675.3 4.9743876e-15 
4676.8 4.7631294e-15 
4678.2 4.8379996e-15 
4679.7 4.6526197e-15 
4681.2 4.5226004e-15 
4682.6 4.8098503e-15 
4684.1 4.7735614e-15 
4685.6 4.8292176e-15 
4687.0 4.8841568e-15 
4688.5 4.749338e-15 
4690.0 4.8759858e-15 
4691.4 4.452207e-15 
4692.9 4.5106123e-15 
4694.3 4.8527097e-15 
4695.8 4.4822718e-15 
4697.3 4.5666634e-15 
4698.7 4.6517029e-15 
4700.2 4.5765321e-15 
4701.7 4.635682e-15 
4703.1 4.5379762e-15 
4704.6 4.5230976e-15 
4706.1 4.4478008e-15 
4707.5 4.5984234e-15 
4709.0 4.5934488e-15 
4710.4 4.379897e-15 
4711.9 4.6777571e-15 
4713.4 4.6287574e-15 
4714.8 4.3953961e-15 
4716.3 4.5515481e-15 
4717.8 4.6025036e-15 
4719.2 4.5206049e-15 
4720.7 4.4821722e-15 
4722.2 4.6227669e-15 
4723.6 4.5463742e-15 
4725.1 4.3289811e-15 
4726.5 4.2279019e-15 
4728.0 3.9436409e-15 
4729.5 4.2481608e-15 
4730.9 4.1297481e-15 
4732.4 4.0997782e-15 
4733.9 4.001035e-15 
4735.3 4.1941469e-15 
4736.8 4.1315172e-15 
4738.3 4.1442582e-15 
4739.7 3.8569514e-15 
4741.2 3.789186e-15 
4742.6 3.7698891e-15 
4744.1 3.7575883e-15 
4745.6 3.7239911e-15 
4747.0 3.7853804e-15 
4748.5 3.4673118e-15 
4750.0 3.4310302e-15 
4751.4 3.5628135e-15 
4752.9 3.5086732e-15 
4754.4 3.5858086e-15 
4755.8 3.6066525e-15 
4757.3 3.5016934e-15 
4758.7 3.4058969e-15 
4760.2 3.6003942e-15 
4761.7 3.2746038e-15 
4763.1 3.3367314e-15 
4764.6 3.5436661e-15 
4766.1 3.6912168e-15 
4767.5 3.2195207e-15 
4769.0 3.4871447e-15 
4770.5 3.6339821e-15 
4771.9 3.3448403e-15 
4773.4 3.4238287e-15 
4774.8 3.4584983e-15 
4776.3 3.6305789e-15 
4777.8 3.6413498e-15 
4779.2 3.243583e-15 
4780.7 3.3931048e-15 
4782.2 3.4808464e-15 
4783.6 3.106872e-15 
