5865.1175153889  7.184504E-17
5868.15892557356  7.971479E-17
5871.20033575823  7.707006E-17
5874.2417459429  7.571428E-17
5877.28315612756  8.057511E-17
5880.32456631223  8.660220E-17
5883.3659764969  8.575041E-17
5886.40738668157  8.739362E-17
5889.44879686623  9.267771E-17
5892.4902070509  9.121822E-17
5895.53161723557  9.232948E-17
5898.57302742023  9.316732E-17
5901.6144376049  1.076499E-16
5904.65584778957  1.068848E-16
5907.69725797423  1.047827E-16
5910.7386681589  1.121620E-16
5913.78007834357  1.098036E-16
5916.82148852824  1.137535E-16
5919.8628987129  1.233472E-16
5922.90430889757  1.199664E-16
5925.94571908224  1.202281E-16
5928.9871292669  1.277940E-16
5932.02853945157  1.372132E-16
5935.06994963624  1.400542E-16
5938.11135982091  1.376131E-16
5941.15277000557  1.347325E-16
5944.19418019024  1.389125E-16
5947.23559037491  1.434789E-16
5950.27700055957  1.456811E-16
5953.31841074424  1.557732E-16
5956.35982092891  1.526478E-16
5959.40123111357  1.529788E-16
5962.44264129824  1.539185E-16
5965.48405148291  1.560194E-16
5968.52546166758  1.621258E-16
5971.56687185224  1.638651E-16
5974.60828203691  1.625705E-16
5977.64969222158  1.691313E-16
5980.69110240624  1.752003E-16
5983.73251259091  1.771708E-16
5986.77392277558  1.763027E-16
5989.81533296024  1.773559E-16
5992.85674314491  1.795726E-16
5995.89815332958  1.782327E-16
5998.93956351424  1.772076E-16
6001.98097369891  1.820439E-16
6005.02238388358  1.796851E-16
6008.06379406825  1.818152E-16
6011.10520425291  1.815864E-16
6014.14661443758  1.783901E-16
6017.18802462225  1.782489E-16
6020.22943480691  1.782837E-16
6023.27084499158  1.784536E-16
6026.31225517625  1.786997E-16
6029.35366536092  1.786494E-16
6032.39507554558  1.743851E-16
6035.43648573025  1.741107E-16
6038.47789591492  1.702909E-16
6041.51930609958  1.677763E-16
6044.56071628425  1.680286E-16
6047.60212646892  1.639231E-16
6050.64353665358  1.604448E-16
6053.68494683825  1.610480E-16
6056.72635702292  1.589335E-16
6059.76776720758  1.517775E-16
6062.80917739225  1.538578E-16
6065.85058757692  1.566935E-16
6068.89199776159  1.493722E-16
6071.93340794625  1.476566E-16
6074.97481813092  1.464991E-16
6078.01622831559  1.424994E-16
6081.05763850025  1.461109E-16
6084.09904868492  1.395547E-16
6087.14045886959  1.383194E-16
6090.18186905426  1.324821E-16
6093.22327923892  1.230139E-16
6096.26468942359  1.245784E-16
6099.30609960826  1.258240E-16
6102.34750979292  1.260508E-16
6105.38891997759  1.198727E-16
6108.43033016226  1.122626E-16
6111.47174034693  1.123276E-16
