5743.46110800222  1.421432E-15
5746.50251818688  1.408992E-15
5749.54392837155  1.438660E-15
5752.58533855622  1.370319E-15
5755.62674874089  1.339846E-15
5758.66815892555  1.433298E-15
5761.70956911022  1.460121E-15
5764.75097929488  1.477171E-15
5767.79238947955  1.431413E-15
5770.83379966422  1.387960E-15
5773.87520984889  1.399456E-15
5776.91662003355  1.374905E-15
5779.95803021822  1.407941E-15
5782.99944040289  1.405238E-15
5786.04085058755  1.347034E-15
5789.08226077222  1.391521E-15
5792.12367095689  1.452000E-15
5795.16508114156  1.457200E-15
5798.20649132622  1.461238E-15
5801.24790151089  1.475589E-15
5804.28931169556  1.444187E-15
5807.33072188022  1.429135E-15
5810.37213206489  1.452090E-15
5813.41354224956  1.459230E-15
5816.45495243422  1.479855E-15
5819.49636261889  1.522043E-15
5822.53777280356  1.482717E-15
5825.57918298823  1.466908E-15
5828.62059317289  1.507358E-15
5831.66200335756  1.579586E-15
5834.70341354223  1.543364E-15
5837.74482372689  1.505470E-15
5840.78623391156  1.580561E-15
5843.82764409623  1.576116E-15
5846.86905428089  1.525924E-15
5849.91046446556  1.561067E-15
5852.95187465023  1.530928E-15
5855.99328483489  1.567375E-15
5859.03469501956  1.579124E-15
5862.07610520423  1.535903E-15
5865.1175153889  1.569942E-15
5868.15892557356  1.627060E-15
5871.20033575823  1.626665E-15
5874.2417459429  1.550401E-15
5877.28315612756  1.548503E-15
5880.32456631223  1.535805E-15
5883.3659764969  1.597889E-15
5886.40738668157  1.554914E-15
5889.44879686623  1.486099E-15
5892.4902070509  1.440572E-15
5895.53161723557  1.518405E-15
5898.57302742023  1.566707E-15
5901.6144376049  1.590361E-15
5904.65584778957  1.607529E-15
5907.69725797423  1.615726E-15
5910.7386681589  1.645027E-15
5913.78007834357  1.619936E-15
5916.82148852824  1.592307E-15
5919.8628987129  1.565430E-15
5922.90430889757  1.560999E-15
5925.94571908224  1.586783E-15
5928.9871292669  1.581163E-15
5932.02853945157  1.587674E-15
5935.06994963624  1.601202E-15
5938.11135982091  1.566639E-15
5941.15277000557  1.555090E-15
5944.19418019024  1.582995E-15
5947.23559037491  1.543382E-15
5950.27700055957  1.468884E-15
5953.31841074424  1.476090E-15
5956.35982092891  1.516326E-15
5959.40123111357  1.437102E-15
5962.44264129824  1.517859E-15
5965.48405148291  1.483666E-15
5968.52546166758  1.456041E-15
5971.56687185224  1.446656E-15
5974.60828203691  1.453767E-15
5977.64969222158  1.499186E-15
5980.69110240624  1.528649E-15
5983.73251259091  1.476641E-15
5986.77392277558  1.454359E-15
5989.81533296024  1.477082E-15
5992.85674314491  1.442623E-15
5995.89815332958  1.461395E-15
5998.93956351424  1.460357E-15
